accession,gene,effect_size,se,n_keloid,n_non_keloid,keloid_mean,non_keloid_mean
GSE163973,ANG,-0.4752945258883425,0.1367305319891799,110,110,-0.2324382850477677,0.2324382850477681
GSE181297,ANG,-1.1218008302621292,0.8205008822770337,4,3,-0.4931305161979216,0.6575073549305612
GSE188952,ANG,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANG,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANG,-0.8923869048518827,0.48173416479514664,10,9,-0.4083954656656754,0.45377273962852827
Sun_Burns,ANG,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANGEL1,-0.5343661891135524,0.4675740708641495,9,10,-0.29056120362094323,0.26150508325884514
GSE158395,ANGEL1,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANGEL1,0.12797027100583538,0.13497791393629507,110,110,0.06421992852352613,-0.06421992852352613
GSE181297,ANGEL1,0.6821353037148621,0.7852194979404,4,3,0.3436018889382247,-0.45813585191763195
GSE188952,ANGEL1,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANGEL1,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANGEL1,0.2979964493105003,0.46200433200361046,10,9,0.15003636210317498,-0.16670706900352622
Sun_Burns,ANGEL1,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANGPT1,0.17308277591051238,0.46032539605265016,9,10,0.09768533918384276,-0.08791680526545782
GSE158395,ANGPT1,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANGPT1,-0.007467858628823584,0.13484044248424354,110,110,-0.0037553918225416223,0.0037553918225419576
GSE181297,ANGPT1,0.35689141559743015,0.7696955868205209,4,3,0.19311091344657494,-0.2574812179287662
GSE188952,ANGPT1,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANGPT1,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANGPT1,-2.328763957549892,0.5948322141182171,10,9,-0.7291227520352634,0.8101363911502928
Sun_Burns,ANGPT1,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANGPT2,0.6277376284665819,0.47061764434497955,9,10,0.3362463292477037,-0.30262169632294694
GSE158395,ANGPT2,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANGPT2,0.29946629068757546,0.1355936447563603,110,110,0.14890818525964533,-0.14890818525964575
GSE181297,ANGPT2,0.8613492330105701,0.7977015718333054,4,3,0.41196842949019574,-0.5492912393202606
GSE188952,ANGPT2,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANGPT2,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANGPT2,-0.16362187908313594,0.4602343322338752,10,9,-0.0831512616530994,0.0923902907256682
Sun_Burns,ANGPT2,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANGPTL2,-0.04022948760522015,0.4595146362108382,9,10,-0.02280290768831677,0.020522616919482997
GSE158395,ANGPTL2,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANGPTL2,0.4527553540918993,0.13655657677529986,110,110,0.22197418253000908,-0.22197418253000872
GSE181297,ANGPTL2,1.8272993141331182,0.9065511351938664,4,3,0.6300494363637186,-0.8400659151516242
GSE188952,ANGPTL2,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANGPTL2,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANGPTL2,-0.5385507650176959,0.46770039748594366,10,9,-0.26338688514145325,0.2926520946016147
Sun_Burns,ANGPTL2,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANGPTL4,0.6383795247559625,0.47099420713416845,9,10,0.3413204436995485,-0.30718839932959474
GSE158395,ANGPTL4,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANGPTL4,-0.20833672632047545,0.13520526643466232,110,110,-0.10419498752963978,0.10419498752964067
GSE181297,ANGPTL4,-1.1055703808227246,0.818925800477115,4,3,-0.4886581234735296,0.6515441646313732
GSE188952,ANGPTL4,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANGPTL4,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANGPTL4,0.24728973424754208,0.46121619644742823,10,9,0.12502128695231027,-0.13891254105812187
Sun_Burns,ANGPTL4,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANGPTL7,-0.618432479921569,0.4702933282438056,9,10,-0.3317868001068242,0.29860812009614557
GSE158395,ANGPTL7,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANGPTL7,-0.07707575902818305,0.13489002821010235,110,110,-0.03873045415826165,0.03873045415826164
GSE181297,ANGPTL7,-2.496747349517752,1.0141996842687127,4,3,-0.6947658780964474,0.9263545041285965
GSE188952,ANGPTL7,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANGPTL7,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANGPTL7,0.30473271221339926,0.4621199504832153,10,9,0.1533354415574937,-0.17037271284165312
Sun_Burns,ANGPTL7,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANK1,-1.8977822055761795,0.5530727448590192,9,10,-0.7425199960767056,0.6682679964690375
GSE158395,ANK1,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANK1,-0.42957930526746396,0.13638630279395625,110,110,-0.21113347531351329,0.2111334753135131
GSE181297,ANK1,0.04062316249566526,0.7638397788241522,4,3,0.022638518448535094,-0.030184691264713015
GSE188952,ANK1,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANK1,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANK1,0.9291317402736723,0.4835588467156871,10,9,0.42175861882839527,-0.46862068758710484
Sun_Burns,ANK1,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANK2,-0.9166661732276256,0.48293235593016876,9,10,-0.463624274364393,0.417261846927957
GSE158395,ANK2,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANK2,0.08155989554498377,0.13489602070215304,110,110,0.04098002907343651,-0.040980029073437
GSE181297,ANK2,0.34589315523568737,0.7693368545844051,4,3,0.1874901449628191,-0.2499868599504249
GSE188952,ANK2,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANK2,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANK2,0.3054542727928198,0.4621324865569457,10,9,0.15368846991101642,-0.17076496656779672
Sun_Burns,ANK2,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANK3,-0.6191676728417479,0.4703187840881658,9,10,-0.33213991391877873,0.29892592252690103
GSE158395,ANK3,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANK3,0.09867410280703422,0.13492200254022838,110,110,0.04955973592446698,-0.04955973592446741
GSE181297,ANK3,-0.718972768332522,0.7875635352270407,4,3,-0.35852410311441807,0.4780321374858922
GSE188952,ANK3,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANK3,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANK3,0.5858035600148135,0.4691927006529477,10,9,0.2843852144355245,-0.3159835715950272
Sun_Burns,ANK3,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANKH,1.1583180203022734,0.4964061065185704,9,10,0.5531140330286904,-0.4978026297258209
GSE158395,ANKH,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANKH,0.5993499314016657,0.13783405981857627,110,110,0.2885222271752051,-0.2885222271752045
GSE181297,ANKH,-0.42224647648680713,0.7720547146401048,4,3,-0.2258699122035995,0.30115988293813256
GSE188952,ANKH,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANKH,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANKH,1.0269365220709417,0.4887368477860309,10,9,0.4557387691583833,-0.5063764101759811
Sun_Burns,ANKH,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANKMY1,-0.48476777023007495,0.4661494568685495,9,10,-0.26548347503844716,0.2389351275345998
GSE158395,ANKMY1,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANKMY1,0.3224125089333672,0.13571318206487656,110,110,0.16003472414183265,-0.16003472414183273
GSE181297,ANKMY1,-0.8813486723382988,0.7992604684018466,4,3,-0.4189439308011821,0.5585919077349096
GSE188952,ANKMY1,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANKMY1,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANKMY1,-0.18628484599132,0.46046098943479374,10,9,-0.09455490106748958,0.1050610011860965
Sun_Burns,ANKMY1,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANKRD10,0.9893016992048447,0.486689679426002,9,10,0.49215100446425164,-0.4429359040178242
GSE158395,ANKRD10,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANKRD10,0.6275828553885918,0.13811935089540311,110,110,0.30090251996032386,-0.3009025199603224
GSE181297,ANKRD10,-1.8986107290529477,0.9169588465271504,4,3,-0.6391235313210342,0.8521647084280438
GSE188952,ANKRD10,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANKRD10,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANKRD10,-0.5317834086942729,0.46749657516293275,10,9,-0.26034183573279746,0.28926870636977625
Sun_Burns,ANKRD10,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANKRD28,-2.7728589015884917,0.6429980909839215,9,10,-0.859196682524082,0.7732770142716682
GSE158395,ANKRD28,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANKRD28,0.47667173872991575,0.13674142773949638,110,110,0.23307509316572808,-0.23307509316572828
GSE181297,ANKRD28,-0.1239528420089743,0.7644807282308304,4,3,-0.06884887636554152,0.09179850182071907
GSE188952,ANKRD28,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANKRD28,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANKRD28,-0.7667465117509612,0.47600648037120386,10,9,-0.3602409914067288,0.40026776822969784
Sun_Burns,ANKRD28,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANKRD36B,2.151445038497303,0.5769916987430054,9,10,0.7851656298361492,-0.7066490668525393
GSE158395,ANKRD36B,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANKRD36B,-0.1137310009907823,0.13494893597029384,110,110,-0.057099031433770125,0.057099031433771284
GSE181297,ANKRD36B,-1.2684576141744135,0.8356200172679186,4,3,-0.5303564712784739,0.7071419617046318
GSE188952,ANKRD36B,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANKRD36B,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANKRD36B,0.5821747346565819,0.4690738255186514,10,9,0.28278925364376467,-0.31421028182640515
Sun_Burns,ANKRD36B,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANKRD6,0.6327453680352336,0.4707940918499818,9,10,0.3386375222788522,-0.3047737700509682
GSE158395,ANKRD6,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANKRD6,0.3679057163892913,0.13597588870618268,110,110,0.1819104112036708,-0.18191041120367002
GSE181297,ANKRD6,-0.17906013227209128,0.7652604224163528,4,3,-0.09906175959410005,0.13208234612546635
GSE188952,ANKRD6,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANKRD6,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANKRD6,0.7821034934174922,0.47666351633648757,10,9,0.36632998114661286,-0.4070333123851257
Sun_Burns,ANKRD6,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANKS1A,2.3062376377568365,0.5925181379419726,9,10,0.8071591072561669,-0.7264431965305234
GSE158395,ANKS1A,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANKS1A,-0.18997010705778403,0.13514376723239072,110,110,-0.0950967733317243,0.09509677333172423
GSE181297,ANKS1A,-0.8256517188047995,0.795000782903118,4,3,-0.3991953296951678,0.5322604395935572
GSE188952,ANKS1A,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANKS1A,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANKS1A,0.8918478187765848,0.4817078923252024,10,9,0.40819698089133727,-0.4535522009903722
Sun_Burns,ANKS1A,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANKS1B,-0.594698166063996,0.46948706979958743,9,10,-0.32031684864268384,0.28828516377840757
GSE158395,ANKS1B,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANKS1B,0.06629997029682452,0.1348770120421274,110,110,0.033322166445983945,-0.03332216644598411
GSE181297,ANKS1B,-0.636218520428815,0.7824613487671588,4,3,-0.3243713336926515,0.4324951115902018
GSE188952,ANKS1B,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANKS1B,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANKS1B,0.5899552025572715,0.46932957119834956,10,9,0.2862076627911351,-0.31800851421236964
Sun_Burns,ANKS1B,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANKZF1,2.0432158530238884,0.5665443087672741,9,10,0.7680529317606861,-0.6912476385846138
GSE158395,ANKZF1,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANKZF1,-0.21281126039215897,0.13522110372334048,110,110,-0.10640763718080117,0.10640763718080094
GSE181297,ANKZF1,-1.0682989390050512,0.8153846283348204,4,3,-0.47810706817066695,0.6374760908942224
GSE188952,ANKZF1,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANKZF1,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANKZF1,0.5360272864470913,0.4676241032585573,10,9,0.2622525036933577,-0.2913916707703979
Sun_Burns,ANKZF1,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANP32A,0.6714272852646874,0.47220191994583177,9,10,0.35689836653624396,-0.32120852988262594
GSE158395,ANP32A,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANP32A,0.1963883993942588,0.13516461683491254,110,110,0.09827902412280894,-0.09827902412280932
GSE181297,ANP32A,-0.6963591579387862,0.7861108038725422,4,3,-0.3494172173846655,0.4658896231795449
GSE188952,ANP32A,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANP32A,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANP32A,0.7102629737754451,0.47369476387166853,10,9,0.3373665125695137,-0.37485168063279184
Sun_Burns,ANP32A,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANPEP,0.6330392405063544,0.47080448792306795,9,10,0.3387776545661679,-0.3048998891095533
GSE158395,ANPEP,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANPEP,0.07260567336272757,0.13488439143985873,110,110,0.036487339205602536,-0.036487339205602626
GSE181297,ANPEP,-0.32226521367366523,0.7686036287882628,4,3,-0.17531634267455487,0.23375512356607317
GSE188952,ANPEP,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANPEP,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANPEP,-1.2202608792447844,0.5002961974154457,10,9,-0.5162498335162782,0.5736109261291971
Sun_Burns,ANPEP,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANTXR1,1.986389854584444,0.5612009415112481,9,10,0.7584395608527283,-0.6825956047674557
GSE158395,ANTXR1,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANTXR1,0.07876336307558325,0.1348922437571002,110,110,0.039577152592726435,-0.039577152592726546
GSE181297,ANTXR1,1.3602693001945736,0.8458722985229298,4,3,0.5509513738265089,-0.7346018317686779
GSE188952,ANTXR1,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANTXR1,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANTXR1,-2.9379222371114877,0.6620067040035883,10,9,-0.7862065110952454,0.8735627901058283
Sun_Burns,ANTXR1,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANXA1,-1.5721970585656644,0.5255079200460994,9,10,-0.6728893696041154,0.605600432643693
GSE158395,ANXA1,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANXA1,0.1780309145090664,0.13510681806462463,110,110,0.08916948104452721,-0.08916948104452133
GSE181297,ANXA1,0.7651885649918799,0.7906679006050608,4,3,0.3766067985450172,-0.5021423980600216
GSE188952,ANXA1,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANXA1,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANXA1,-1.0546551846679089,0.4902877721236012,10,9,-0.4649518038773632,0.5166131154192919
Sun_Burns,ANXA1,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANXA3,-1.1079057025471946,0.4933685840050283,9,10,-0.5357117782567085,0.4821406004310386
GSE158395,ANXA3,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANXA3,-0.1255366590146573,0.13497271990999246,110,110,-0.06300357438877748,0.06300357438877739
GSE181297,ANXA3,-0.8704877869611336,0.7984098327262384,4,3,-0.41517182185107415,0.553562429134765
GSE188952,ANXA3,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANXA3,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANXA3,-0.14227830979271994,0.46004763310758023,10,9,-0.07237624075137025,0.08041804527930158
Sun_Burns,ANXA3,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANXA4,0.9215729038034894,0.4831780438776661,9,10,0.46559596352205695,-0.41903636716985027
GSE158395,ANXA4,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANXA4,0.08338411053860713,0.13489855540275705,110,110,0.04189501322542588,-0.04189501322542628
GSE181297,ANXA4,0.278304101730092,0.7673758549994754,4,3,0.15232951392101896,-0.20310601856135965
GSE188952,ANXA4,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANXA4,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANXA4,0.022182891084375267,0.459482383342475,10,9,0.011318296015143581,-0.012575884461269523
Sun_Burns,ANXA4,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANXA5,-0.829279703696258,0.47875735666148683,9,10,-0.427425366539107,0.38468282988519764
GSE158395,ANXA5,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANXA5,0.12525324116087624,0.13497212148525425,110,110,0.06286189964241663,-0.0628618996424203
GSE181297,ANXA5,1.3128533708184371,0.8405037027170926,4,3,0.540560485483522,-0.7207473139780264
GSE188952,ANXA5,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANXA5,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANXA5,0.7399915229706819,0.4748908372150464,10,9,0.3494992738537451,-0.38833252650416267
Sun_Burns,ANXA5,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ANXA6,1.4140698381645087,0.5135484328470936,9,10,0.6317238460262057,-0.5685514614235779
GSE158395,ANXA6,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ANXA6,0.1831006267591257,0.13512221605507888,110,110,0.09168757377868095,-0.09168757377868085
GSE181297,ANXA6,0.6613590248751758,0.7839489062455588,4,3,0.33498693061293927,-0.44664924081725016
GSE188952,ANXA6,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ANXA6,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ANXA6,-0.6451765694027566,0.4712378723255472,10,9,-0.3100920014693479,0.344546668299276
Sun_Burns,ANXA6,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,AOAH,0.44710548433713904,0.46515774167555163,9,10,0.24609122513193973,-0.22148210261874174
GSE158395,AOAH,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,AOAH,0.1349956515538546,0.13499346639019952,110,110,0.06772968271832785,-0.06772968271832783
GSE181297,AOAH,-1.2068202600159845,0.8290735710354108,4,3,-0.5153900717377777,0.6871867623170361
GSE188952,AOAH,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,AOAH,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,AOAH,0.29955019090249746,0.4620307730435947,10,9,0.15079783459845802,-0.1675531495538408
Sun_Burns,AOAH,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,AOC2,-0.11711208145012934,0.45986089034573685,9,10,-0.06625934689641101,0.05963341220677112
GSE158395,AOC2,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,AOC2,-0.2745581675125599,0.1354737662238763,110,110,-0.13676580612436523,0.1367658061243651
GSE181297,AOC2,-0.312917496038752,0.768327684278089,4,3,-0.1704642016099979,0.2272856021466647
GSE188952,AOC2,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,AOC2,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,AOC2,0.25778903572802153,0.46136745856215317,10,9,0.1302259083781569,-0.14469545375350865
Sun_Burns,AOC2,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,AOC3,0.6439705780133631,0.4711944600125886,9,10,0.3439750793278168,-0.3095775713950363
GSE158395,AOC3,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,AOC3,0.13160720858936997,0.1349858616952892,110,110,0.06603718456034532,-0.06603718456034519
GSE181297,AOC3,0.42934384455812347,0.7723342542266924,4,3,0.2293581548773807,-0.30581087316983974
GSE188952,AOC3,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,AOC3,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,AOC3,0.35578271948703843,0.4630790419545826,10,9,0.17813318751687932,-0.19792576390764383
Sun_Burns,AOC3,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,AOX1,0.026818502926844297,0.4594888880828538,9,10,0.015203369928000667,-0.013683032935200201
GSE158395,AOX1,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,AOX1,-0.1775420279968029,0.13510535595756723,110,110,-0.08892656271189388,0.0889265627118935
GSE181297,AOX1,-3.3216953865548233,1.1710900571606129,4,3,-0.7357807573205395,0.9810410097607197
GSE188952,AOX1,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,AOX1,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,AOX1,0.40191499759293325,0.4640711687568811,10,9,0.20020457766378857,-0.2224495307375428
Sun_Burns,AOX1,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,AP1B1,-0.16616740960839033,0.46025833221647283,9,10,-0.0938157162873727,0.08443414465863544
GSE158395,AP1B1,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,AP1B1,0.4262265560287254,0.13636239381835805,110,110,0.20955860433862555,-0.20955860433862558
GSE181297,AP1B1,-0.4620422209802681,0.7736808903193619,4,3,-0.24524434133671114,0.3269924551156152
GSE188952,AP1B1,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,AP1B1,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,AP1B1,0.4806513226094564,0.4660372674319998,10,9,0.237040430098799,-0.26337825566532913
Sun_Burns,AP1B1,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,AP1G2,0.7533912102842191,0.4754449588475749,9,10,0.39433352623375756,-0.3549001736103935
GSE158395,AP1G2,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,AP1G2,-0.13650812290312536,0.13499692309303785,110,110,-0.06848496047440396,0.0684849604744047
GSE181297,AP1G2,-1.0271202480773614,0.8115964281533194,4,3,-0.4659843688815262,0.6213124918420346
GSE188952,AP1G2,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,AP1G2,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,AP1G2,-0.06880408152221013,0.4596038403902676,10,9,-0.03508294497444396,0.03898104997161194
Sun_Burns,AP1G2,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,AP1M2,-0.533440602546843,0.46754625717304166,9,10,-0.2900981860976752,0.26108836748790437
GSE158395,AP1M2,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,AP1M2,-0.01053107201341131,0.13484090712827732,110,110,-0.005295765055189745,0.005295765055189653
GSE181297,AP1M2,-0.5416737794012563,0.7773617079564473,4,3,-0.28260450537850573,0.37680600717134194
GSE188952,AP1M2,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,AP1M2,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,AP1M2,0.4201392687960657,0.4644957432076977,10,9,0.20882784203104202,-0.23203093559004678
Sun_Burns,AP1M2,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,AP1S2,-0.13060958956038288,0.45995655078288455,9,10,-0.07385838963117906,0.06647255066806539
GSE158395,AP1S2,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,AP1S2,0.19424007151496261,0.1351575612974298,110,110,0.09721419483207207,-0.09721419483207247
GSE181297,AP1S2,0.09931496540301007,0.7642237017775277,4,3,0.055236872316805435,-0.07364916308907128
GSE188952,AP1S2,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,AP1S2,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,AP1S2,-1.367804356303969,0.5102401647971982,10,9,-0.5567849952085678,0.618649994676187
Sun_Burns,AP1S2,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,AP2A2,1.2485602062565206,0.5021303251586539,9,10,0.5826565199924081,-0.524390867993174
GSE158395,AP2A2,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,AP2A2,0.5983018252928495,0.13782371047290773,110,110,0.2880597690291551,-0.28805976902915414
GSE181297,AP2A2,-0.927011137592275,0.8029417482823837,4,3,-0.4343906884083426,0.57918758454446
GSE188952,AP2A2,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,AP2A2,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,AP2A2,-0.03626773881854756,0.4595059581281788,10,9,-0.018502431469190755,0.020558257187988784
Sun_Burns,AP2A2,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,AP3M2,0.8484994547253814,0.47964278228949475,9,10,0.43556282240445543,-0.39200654016401104
GSE158395,AP3M2,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,AP3M2,0.2308751809860656,0.13528844058995637,110,110,0.11532375833974602,-0.11532375833974597
GSE181297,AP3M2,-0.457331666854514,0.7734809499997212,4,3,-0.24297474364644844,0.3239663248619313
GSE188952,AP3M2,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,AP3M2,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,AP3M2,1.1124349319591098,0.4936367111887971,10,9,0.48357186413125114,-0.5373020712569467
Sun_Burns,AP3M2,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,AP3S2,-0.08042943058718986,0.4596535055293739,9,10,-0.045555359647312735,0.04099982368258139
GSE158395,AP3S2,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,AP3S2,0.030864031888516812,0.13484800019133003,110,110,0.015518950981766848,-0.015518950981765764
GSE181297,AP3S2,-0.31948230339770056,0.7685206386693746,4,3,-0.1738738968814896,0.23183186250865084
GSE188952,AP3S2,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,AP3S2,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,AP3S2,0.055703613043987375,0.4595571413622712,10,9,0.028410131022220543,-0.03156681224691044
Sun_Burns,AP3S2,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,AP4E1,-0.8887218538986823,0.4815558325780952,9,10,-0.4522718365493526,0.4070446528944192
GSE158395,AP4E1,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,AP4E1,0.12899334239322324,0.13498012717687685,110,110,0.06473118874045994,-0.06473118874046017
